,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,14.0,2013,16.0,scoil-phobail-mhic-dara,91411K
0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,41.0,2013,27.0,colaiste-cholmcille,71250A
0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,0.0,1.0,2.0,3.0,15.0,1.0,0.0,5.0,105.0,2013,90.0,stbrigids-vocational-school,71280J
0,0.0,2.0,2.0,2.0,0.0,10.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,20.0,0.0,0.0,3.0,2.0,10.0,13.0,0.0,1.0,116.0,2013,113.0,st.-geralds-college,64580H
0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,7.0,10.0,0.0,1.0,70.0,2013,51.0,st.-brendans-college,72050U
0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,3.0,52.0,2013,53.0,balla-secondary-school,64500G
0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,9.0,2.0,11.0,0.0,5.0,74.0,2013,66.0,coláiste-cholmáin,64610N
0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,1.0,1.0,2.0,8.0,6.0,0.0,1.0,92.0,2013,58.0,ballinrobe-community-school,91462E
0,0.0,5.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,9.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,10.0,8.0,0.0,1.0,103.0,2013,85.0,st.-marys-secondary-school,64520M
0,0.0,4.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,6.0,5.0,0.0,2.0,75.0,2013,70.0,naomh-iosaef,64590K
0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013,5.0,mchale-college,72070D
